id,name,slug
27,Royal Canin Babydog Milk for Puppies,royal-canin-baby-dog-milk-junior-milk-dog-food
28,Royal Canin Mini Adult Dog Food,royal-canin-mini-adult-dry-dog-food
29,Royal Canin Mini Ageing 12+ Adult Dog Food,royal-canin-mini-ageing-adult-dry-dog-food
30,Royal Canin Mini Exigent Adult Dog Food,royal-canin-mini-exigent-adult-dry-dog-food
31,Royal Canin Mini Puppy Food,royal-canin-mini-junior-puppy-dry-dog-food
32,Royal Canin Mini Light Weight Care Dog Food,royal-canin-mini-light-adult-dry-dog-food
33,Royal Canin Mini Digestive Care Adult Dog Food,royal-canin-mini-digestive-care-adult-dry-dog-food
34,Royal Canin Mini Mother and Babydog Starter Dog Food,royal-canin-mother-babydog-starter-mini-dry-dog-food
35,Royal Canin Mini 8+ Adult Dog Food,royal-canin-mini-8-adult-dry-dog-food
36,Royal Canin Giant Adult Dog Food,royal-canin-giant-adult-dry-dog-food
37,Royal Canin Giant Junior Food,royal-canin-giant-junior-puppy-dry-dog-food
38,Royal Canin Giant Puppy Food,royal-canin-giant-puppy-dry-dog-food
39,Royal Canin Giant Mother and Babydog Starter Dog Food,royal-canin-mother-babydog-starter-giant-dry-dog-food
40,Royal Canin Maxi 5+ Adult Dog Food,royal-canin-maxi-5-adult-dry-dog-food
41,Royal Canin Maxi Adult Dog Food,royal-canin-maxi-adult-dry-dog-food
42,Royal Canin Maxi Puppy Food,royal-canin-maxi-junior-puppy-dry-dog-food
43,Royal Canin Maxi Light Adult Dog Food,royal-canin-maxi-light-adult-dry-dog-food
44,Royal Canin Maxi Digestive Care Adult Dog Food,royal-canin-maxi-digestive-care-adult-dry-dog-food
45,Royal Canin Maxi Mother and Babydog Starter Dog Food,royal-canin-mother-babydog-maxi-starter-dry-dog-food
46,Royal Canin Medium 7+ Adult Dog Food,royal-canin-medium-7-adult-dry-dog-food
47,Royal Canin Medium Adult Dog Food,royal-canin-medium-adult-dry-dog-food
48,Royal Canin Medium Mother and Babydog Starter Dog Food,royal-canin-mother-babydog-medium-starter-dry-dog-food
49,Royal Canin Medium Digestive Care Dog Food,royal-canin-medium-digestive-care-dry-dog-food
50,Royal Canin Medium Light Weight Care Adult Dog Food,royal-canin-medium-light-adult-dry-dog-food
51,Royal Canin Medium Puppy Food,royal-canin-medium-junior-puppy-dry-dog-food
52,Royal Canin Beagle Adult Dog Food,royal-canin-beagle-adult-dry-dog-food
53,Royal Canin Boxer Adult Dog Food,royal-canin-boxer-adult-dry-dog-food
54,Royal Canin Junior Boxer Dog Food,royal-canin-boxer-junior-puppy-dry-dog-food
55,Royal Canin Bulldog Adult Dog Food,royal-canin-bulldog-adult-dry-dog-food
56,Royal Canin Junior Bulldog Dog Food,royal-canin-bulldog-junior-puppy-dry-dog-food
57,Royal Canin Chihuahua Adult Dog Food,royal-canin-chihuahua-adult-dry-dog-food
58,Royal Canin Junior Chihuahua Dog Food,royal-canin-chihuahua-junior-puppy-dry-dog-food
59,Royal Canin Cocker Adult Dog Food,royal-canin-cocker-dry-dog-food
60,Royal Canin Junior Cocker Dog Food,royal-canin-cocker-junior-puppy-dry-dog-food
61,Royal Canin Dalmatian Adult Dog Food,royal-canin-dalmatian-adult-dry-dog-food
62,Royal Canin Junior Dalmatian Dog Food,royal-canin-dalmatian-junior-puppy-dry-dog-food
63,Royal Canin Dachshund Adult Dog Food,royal-canin-dachshund-adult-dry-dog-food
64,Royal Canin Junior Dachshund Dog Food,royal-canin-dachshund-junior-puppy-dry-dog-food
65,Royal Canin French Bulldog Adult Dog Food,royal-canin-french-bulldog-adult-dry-dog-food
66,Royal Canin German Shepherd Adult Dog Food,NULL
67,Royal Canin Junior German Shepherd Dog Food,royal-canin-german-shepherd-junior-puppy-dry-dog-food
68,Royal Canin Golden Retriever Adult Dog Food,royal-canin-golden-retriever-adult-dry-dog-food
69,Royal Canin Junior Golden Retriever Dog Food,royal-canin-golden-retriever-junior-puppy-dry-dog-food
70,Royal Canin Great Dane Adult Dog Food,royal-canin-great-dane-adult-dry-dog-food
71,Royal Canin Jack Russell Terrier Adult Dog Food,royal-canin-jack-russell-adult-dry-dog-food
72,Royal Canin Junior Jack Russell Dog Food,royal-canin-jack-russell-junior-puppy-dry-dog-food
73,Royal Canin Labrador Retriever Adult Dog Food,royal-canin-labrador-retriever-adult-dry-dog-food
74,Royal Canin Junior Labrador Retriever Dog Food,royal-canin-labrador-retriever-junior-puppy-dry-dog-food
75,Royal Canin Miniature Schnauzer Adult Dog Food,royal-canin-miniature-schnauzer-adult-dry-dog-food
76,Royal Canin Junior Miniature Schnauzer Dog Food,royal-canin-miniature-schnauzer-junior-puppy-dry-dog-food
77,Royal Canin Poodle Adult Dog Food,royal-canin-poodle-adult-dry-dog-food
78,Royal Canin Junior Poodle Dog Food,royal-canin-poodle-junior-puppy-dry-dog-food
79,Royal Canin Pug Adult Dog Food,royal-canin-pug-adult-dry-dog-food
80,Royal Canin Junior Pug Dog Food,royal-canin-pug-junior-puppy-dry-dog-food
81,Royal Canin Rottweiler Adult Dog Food,royal-canin-rottweiler-adult-dry-dog-food
82,Royal Canin Junior Rottweiler Dog Food,royal-canin-rottweiler-junior-puppy-dry-dog-food
83,Royal Canin Shih Tzu Adult Dog Food,royal-canin-shi-tzu-adult-dry-dog-food
84,Royal Canin Junior Shih Tzu Dog Food,royal-canin-shih-tzu-junior-puppy-dry-dog-food
85,Royal Canin Yorkshire Terrier Adult Dog Food,royal-canin-yorshire-terrier-adult-dry-dog-food
86,Royal Canin Junior Yorkshire Terrier Dog Food,royal-canin-yorkshire-terrier-junior-puppy-dry-dog-food
87,Royal Canin Digest Sensitive Adult Wet Cat Food,royal-canin-digest-sensitive-adult-wet-cat-food-9-pouch
88,Royal Canin Instinctive Adult Wet Cat Food +7,royal-canin-instinctive-adult-wet-cat-food-7-pouch
