product_id,sap_product_code,web_product_code,name
27,ZROY132000,ZRC0279,Royal Canin Babydog Milk for Puppies
28,ZROY402020,ZRC0155,Royal Canin Mini Adult Dog Food 2 KG
28,ZROY402080,ZRC0099,Royal Canin Mini Adult Dog Food 8 KG
28,ZROY402008,ZRC0257,Royal Canin Mini Adult Dog Food 800 G
29,ZROY408015,ZRC0221,Royal Canin Mini Ageing 12+ Adult Dog Food
30,ZROY407030,ZRC0357,Royal Canin Mini Exigent Adult Dog Food 3 KG
31,ZROY401020,ZRC0197,Royal Canin Mini Puppy Food 2 KG
31,ZROY401080,ZRC0060,Royal Canin Mini Puppy Food 8 KG
31,ZROY401008,ZRC0256,Royal Canin Mini Puppy Food 800 G
32,ZROY136030,ZRC0358,Royal Canin Mini Light Weight Care Dog Food 3 KG
33,ZROY405030,ZRC0356,Royal Canin Mini Digestive Care Adult Dog Food 3 KG
33,ZROY405008,ZRC0228,Royal Canin Mini Digestive Care Adult Dog Food 800 G
34,ZROY400030,ZRC0095,Royal Canin Mini Mother and Babydog Starter Dog Food 3 KG
34,ZROY400850,ZRC0098,Royal Canin Mini Mother and Babydog Starter Dog Food 8.5 KG
35,ZROY406020,ZRC0198,Royal Canin Mini 8+ Adult Dog Food 2 KG
35,ZROY406080,ZRC0100,Royal Canin Mini 8+ Adult Dog Food 8 KG
36,ZROY433150,ZRC0034,Royal Canin Giant Adult Dog Food
37,ZROY432150,ZRC0032,Royal Canin Giant Junior Food
38,ZROY431150,ZRC0033,Royal Canin Giant Puppy Food 15 KG
38,ZROY431040,ZRC0078,Royal Canin Giant Puppy Food 4 KG
39,ZROY430040,zrc0117,Royal Canin Giant Mother and Babydog Starter Dog Food 4 KG
39,ZROY430150,zrc0005,Royal Canin Giant Mother and Babydog Starter Dog Food 15 KG
40,ZROY423150,ZRC0031,Royal Canin Maxi 5+ Adult Dog Food
41,ZROY107040,zrc0073,Royal Canin Maxi Adult Dog Food 4 KG
41,ZROY422150,zrc0002,Royal Canin Maxi Adult Dog Food 15 KG
42,ZROY421040,ZRC0116,Royal Canin Maxi Puppy Food 4 KG
42,ZROY421150,ZRC0030,Royal Canin Maxi Puppy Food 15 KG
43,NULL,ZRC0295,Royal Canin Maxi Light Adult Dog Food
44,ZROY125100,ZRC0355,Royal Canin Maxi Digestive Care Adult Dog Food 10 KG
45,ZROY420040,ZRC0077,Royal Canin Maxi Mother and Babydog Starter Dog Food 4 KG
45,ZROY420150,ZRC0003,Royal Canin Maxi Mother and Babydog Starter Dog Food 15 KG
46,ZROY413040,ZRC0076,Royal Canin Medium 7+ Adult Dog Food 4 KG
46,ZROY413100,ZRC0056,Royal Canin Medium 7+ Adult Dog Food 10 KG
47,ZROY412040,ZRC0114,Royal Canin Medium Adult Dog Food 4 KG
47,ZROY412100,ZRC0028,Royal Canin Medium Adult Dog Food 10 KG
47,ZROY412150,ZRC0001,Royal Canin Medium Adult Dog Food 15 KG
48,ZROY410040,ZRC0074,Royal Canin Medium Mother and Babydog Starter Dog Food 4 KG
49,ZROY428030,ZRC0297,Royal Canin Medium Digestive Care Dog Food 3 KG
49,ZROY428150,ZRC0343,Royal Canin Medium Digestive Care Dog Food 15 KG
49,ZROY135100,ZRC0361,Royal Canin Medium Digestive Care Dog Food 10 KG
50,ZROY417090,ZRC0053,Royal Canin Medium Light Weight Care Adult Dog Food 9 KG
51,ZROY411040,ZRC0075,Royal Canin Medium Puppy Food 4 KG
51,ZROY411150,ZRC0029,Royal Canin Medium Puppy Food 15 KG
52,ZROY920120,ZRC0052,Royal Canin Beagle Adult Dog Food 12 KG
52,ZROY920030,ZRC0142,Royal Canin Beagle Adult Dog Food 3 KG
53,ZROY925120,ZRC0047,Royal Canin Boxer Adult Dog Food
54,ZROY953030,ZRC0136,Royal Canin Junior Boxer Dog Food 3 KG
54,ZROY953120,ZRC0020,Royal Canin Junior Boxer Dog Food 12 KG
55,ZROY921120,ZRC0016,Royal Canin Bulldog Adult Dog Food 12 KG
56,ZROY199120,zrc0021,Royal Canin Junior Bulldog Dog Food 12 KG
57,ZROY910015,ZRC0251,Royal Canin Chihuahua Adult Dog Food 1.5 KG
57,ZROY910030,ZRC0139,Royal Canin Chihuahua Adult Dog Food 3 KG
58,ZROY902015,ZRC0253,Royal Canin Junior Chihuahua Dog Food
59,ZROY918030,ZRC0182,Royal Canin Cocker Adult Dog Food 3 KG
59,ZROY918120,ZRC0024,Royal Canin Cocker Adult Dog Food 12 KG
60,ZROY905030,ZRC0140,Royal Canin Junior Cocker Dog Food
61,ZROY926120,ZRC0051,Royal Canin Dalmatian Adult Dog Food
62,NULL,ZRC0050,Royal Canin Junior Dalmatian Dog Food
63,ZROY912075,ZRC0068,Royal Canin Dachshund Adult Dog Food 7.5 KG
63,ZROY912015,ZRC0180,Royal Canin Dachshund Adult Dog Food 1.5 KG
64,ZROY904015,ZRC0250,Royal Canin Junior Dachshund Dog Food
65,ZROY917030,ZRC0141,Royal Canin French Bulldog Adult Dog Food
66,ZROY922110,ZRC0361,Royal Canin German Shepherd Adult Dog Food 11 KG
67,ZROY950120,ZRC0018,Royal Canin Junior German Shepherd Dog Food 12 KG
68,ZROY924120,ZRC0025,Royal Canin Golden Retriever Adult Dog Food
69,ZROY201120,ZRC0022,Royal Canin Junior Golden Retriever Dog Food 12 KG
70,ZROY928120,ZRC0019,Royal Canin Great Dane Adult Dog Food
71,ZROY919075,ZRC0105,Royal Canin Jack Russell Terrier Adult Dog Food 7.5 KG
71,ZROY919015,ZRC0255,Royal Canin Jack Russell Terrier Adult Dog Food 1.5 KG
71,ZROY919030,ZRC0186,Royal Canin Jack Russell Terrier Adult Dog Food 3 KG
72,ZROY908015,ZRC0177,Royal Canin Junior Jack Russell Dog Food 1.5 KG
72,ZROY908030,ZRC0084,Royal Canin Junior Jack Russell Dog Food 3 KG
73,ZROY923120,ZRC0017,Royal Canin Labrador Retriever Adult Dog Food
74,ZROY190030,ZRC0083,Royal Canin Junior Labrador Retriever Dog Food 3 KG
74,ZROY951120,ZRC0023,Royal Canin Junior Labrador Retriever Dog Food 12 KG
75,ZROY916075,ZRC0108,Royal Canin Miniature Schnauzer Adult Dog Food 7.5 KG
75,ZROY916030,ZRC0181,Royal Canin Miniature Schnauzer Adult Dog Food 3 KG
76,ZROY907015,ZRC0254,Royal Canin Junior Miniature Schnauzer Dog Food
77,ZROY913075,ZRC0104,Royal Canin Poodle Adult Dog Food 7.5 KG
77,ZROY913015,ZRC0223,Royal Canin Poodle Adult Dog Food 1.5 KG
78,ZROY901030,ZRC0184,Royal Canin Junior Poodle Dog Food
79,ZROY915015,ZRC0225,Royal Canin Pug Adult Dog Food 1.5 KG
79,ZROY915030,ZRC0185,Royal Canin Pug Adult Dog Food 3 KG
80,ZROY906015,ZRC0227,Royal Canin Junior Pug Dog Food
81,ZROY927120,ZRC0048,Royal Canin Rottweiler Adult Dog Food
82,ZROY200120,ZRC0049,Royal Canin Junior Rottweiler Dog Food 12 KG
83,ZROY914075,ZRC0063,Royal Canin Shih Tzu Adult Dog Food 7.5 KG
83,ZROY914015,ZRC0226,Royal Canin Shih Tzu Adult Dog Food 1.5 KG
84,ZROY903015,ZRC0252,Royal Canin Junior Shih Tzu Dog Food
85,ZROY911075,ZRC0062,Royal Canin Yorkshire Terrier Adult Dog Food 7.5 KG
85,ZROY911015,ZRC0222,Royal Canin Yorkshire Terrier Adult Dog Food 1.5 KG
85,ZROY911030,ZRC0132,Royal Canin Yorkshire Terrier Adult Dog Food 3 KG
85,ZROY165005,ZRC0230,Royal Canin Yorkshire Terrier Adult Dog Food 500 G
86,ZROY900015,ZRC0224,Royal Canin Junior Yorkshire Terrier Dog Food 1.5 KG
86,ZROY900005,ZRC0231,Royal Canin Junior Yorkshire Terrier Dog Food 500 G
87,ZROY820010S,ZRC0276,Royal Canin Digest Sensitive Adult Wet Cat Food Single Pouch
87,ZROY820010,ZRC0338,Royal Canin Digest Sensitive Adult Wet Cat Food Box of 12 Pouches
88,ZROY820007S,ZRC0247,Royal Canin Instinctive Adult Wet Cat Food +7 Single Pouch
88,ZROY820007,ZRC0336,Royal Canin Instinctive Adult Wet Cat Food +7 Box of 12 Pouches
89,ZROY820003S,ZRC0273,Royal Canin Instinctive in Gravy Adult Wet Cat Food Single Pouch
89,ZROY820003,ZRC0332,Royal Canin Instinctive in Gravy Adult Wet Cat Food Box of 12 Pouches
90,ZROY820006S,ZRC0272,Royal Canin Intense Beauty Adult Wet Cat Food Pouch Single Pouch
90,ZROY820006,ZRC0335,Royal Canin Intense Beauty Adult Wet Cat Food Pouch Box of 12 Pouches
91,ZROY820005S,ZRC0275,Royal Canin Ultra Light 10 Adult Wet Cat Food Pouch Single Pouch
91,ZROY820005,ZRC0334,Royal Canin Ultra Light 10 Adult Wet Cat Food Pouch Box of 12 Pouches
94,ZROY820004S,ZRC0246,Royal Canin Instinctive in Jelly Adult Wet Cat Food Single Pouch
94,ZROY820004,ZRC0333,Royal Canin Instinctive in Jelly Adult Wet Cat Food Box of 12 Pouches
95,ZROY480037s,ZRC0281,Royal Canin Sterilised Adult Wet Cat Food Single Pouch
95,ZROY820012,ZRC0339,Royal Canin Sterilised Adult Wet Cat Food Box of 12 Pouches
96,ZROY820009S,ZRC0274,Royal Canin Ageing +12 Wet Cat Food Pouch Single Pouch
96,ZROY820009,ZRC0337,Royal Canin Ageing +12 Wet Cat Food Pouch Box of 12 Pouches
105,ZROY931015,ZRC0287,Royal Canin X-Small Puppy Food
106,ZROY932015,ZRC0288,Royal Canin X-Small Adult Dog Food
107,ZROY720015,ZRC0290,Royal Canin X-Small Ageing 12+ Dog Food
110,ZROY137100,ZRC0354,Royal Canin Adult Maxi Light Weight Care Dog Food 10 KG
117,NULL,,(Short Expiry) Royal Canin Giant Mother & Babydog Starter Dog Food - 4kg
118,NULL,ZRC0019,(Short Expiry) Royal Canin Great Dane Adult Dog Food
119,NULL,,(Short Expiry) Royal Canin Junior Chihuahua Dog Food
121,NULL,ZRC0276,(Short Expiry) Royal Canin Digest Sensitive Adult Wet Cat Food Single Pouch
122,NULL,ZRC0024,(Short Expiry) Royal Canin Cocker Dog Food 12 KG
123,NULL,229900,Eukanuba Adult Large Breed Dog Food 9 KG
123,NULL,229916,Eukanuba Adult Large Breed Dog Food 15 KG
124,NULL,278915,Eukanuba Adult Large Breed Dog Food - Lamb & Rice 15 KG
124,NULL,278903,Eukanuba Adult Large Breed Dog Food - Lamb & Rice 3 KG
125,NULL,145479,Eukanuba Adult Medium Breed Dog Food 3 KG
125,NULL,145900,Eukanuba Adult Medium Breed Dog Food 9 KG
125,NULL,145916,Eukanuba Adult Medium Breed Dog Food 15 KG
125,NULL,145901,Eukanuba Adult Medium Breed Dog Food 1 KG
126,NULL,147912,Eukanuba Adult Small and Medium Breed Dog Food - Lamb & Rice 12 KG
